entity,count,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,community
anies,162,0.8378378378378379,0.14761949093089444,0.2854896989010194,0.08949906451551876,3
prabowo,258,0.8108108108108109,0.14087777114092903,0.28393812061236723,0.1132730676685919,2
pemilu,90,0.7567567567567568,0.11534807477789935,0.27567561903278864,0.07741353283817404,1
ganjar,58,0.5945945945945946,0.05974966764440449,0.21662349516892834,0.04699609906793632,3
jokowi,267,0.6756756756756757,0.056629236892394776,0.2570773960828384,0.07086044931805768,0
partai,52,0.5675675675675675,0.0363166467333134,0.22653487512042475,0.03950672203443614,0
gibran,150,0.6756756756756757,0.03428515095181761,0.267119160339637,0.08188216909785671,1
kpu,70,0.5675675675675675,0.027439741803776892,0.2322792540895442,0.049356308432457134,2
pilpres,52,0.5675675675675675,0.018526237276237274,0.2415483037676663,0.04135402960721287,0
golkar,10,0.24324324324324326,0.011265886814132427,0.10118958151966419,0.013383998811198911,3
koalisi,16,0.3783783783783784,0.00886432969766303,0.1673771527947684,0.0198617320825775,0
pdip,36,0.35135135135135137,0.007756635936460498,0.16733267292764556,0.021418509985249953,0
cawapres,26,0.4594594594594595,0.0058476766810100144,0.20776453013032808,0.027984616360563798,1
mk,42,0.35135135135135137,0.005229986479986482,0.1711098265691142,0.018083185503297662,0
capres,37,0.40540540540540543,0.004167912501245835,0.1910934799501565,0.029206911635584594,0
kecurangan,41,0.32432432432432434,0.003052018183597131,0.1513587679771977,0.02679386848182031,2
mahfud,25,0.35135135135135137,0.0020550853884187216,0.17318580640261705,0.024065112503677204,1
curang,23,0.2702702702702703,0.0016470417786207258,0.12821498653947327,0.019264660847289332,2
demokrat,11,0.13513513513513514,0.0012780637780637778,0.048641059820360134,0.010882370227946851,3
nasdem,14,0.21621621621621623,0.001001001001001001,0.10507084852129611,0.012015532478455045,0
muhaimin iskandar,11,0.32432432432432434,0.000822359155692489,0.16450444711541418,0.015060987899780488,1
cak imin,16,0.2972972972972973,0.0007161923828590495,0.15313437904401236,0.015763383004329987,1
sby,9,0.10810810810810811,0.0005482456140350876,0.047999332195387164,0.009178785867764477,3
pan,5,0.13513513513513514,0.00040040040040040036,0.06266263309279252,0.007453032088058761,3
debat,14,0.2702702702702703,0.0002866502866502867,0.14231154678027255,0.01327235962535524,1
kampanye,36,0.2702702702702703,0.000273000273000273,0.14281385986962056,0.01716537755450665,0
pks,8,0.16216216216216217,0.00018768768768768769,0.08116839457322225,0.008722302627545498,0
sirekap,2,0.02702702702702703,0.0,0.016379952127099036,0.004581490111811273,1
hak angket,18,0.21621621621621623,0.0,0.10936957270329317,0.012180074820770874,2
quick count,4,0.05405405405405406,0.0,0.029834339954698058,0.005143737956112748,3
tps,4,0.05405405405405406,0.0,0.03334305593977859,0.005396794340562157,1
bahlil,6,0.08108108108108109,0.0,0.036343329457314284,0.006480851146259986,0
surat suara,6,0.1891891891891892,0.0,0.10304828295426938,0.008309875123564812,1
gerindra,11,0.21621621621621623,0.0,0.12151729618890654,0.012168640180917227,1
roy suryo,1,0.0,0.0,5.803505776119517e-14,0.004037685060565307,4
najwa shihab,3,0.02702702702702703,0.0,0.01687089827729951,0.004551180165617077,2
bawaslu,13,0.16216216216216217,0.0,0.07893854779999424,0.009739451116220186,2
mahkamah konstitusi,6,0.13513513513513514,0.0,0.06705524424550545,0.00769204981235402,0
